Width,Depth,Thickness,Weight (kg/m)
60,40,2.0,2.94
60,40,2.2,3.20
60,40,2.6,3.74
60,40,2.9,4.12
60,40,3.0,4.25
60,40,3.2,4.50
60,40,3.6,4.98
66,33,1.6,2.36
66,33,2.0,2.90
66,33,2.2,3.17
66,33,2.6,3.69
66,33,2.9,4.07
66,33,3.2,4.44
75,25,1.6,2.38
75,25,2.0,2.94
75,25,2.2,3.20
75,25,2.6,3.74
75,25,3.0,4.25
75,50,1.6,3.01
75,50,2.0,3.72
75,50,2.2,4.07
75,50,2.6,4.76
75,50,2.9,5.26
75,50,3.2,5.75
75,50,3.6,6.40
75,50,4.0,7.03
80,40,1.6,2.88
80,40,2.0,3.56
80,40,2.2,3.89
80,40,2.6,4.55
80,40,2.9,5.03
80,40,3.0,5.19
80,40,3.2,5.50
80,40,3.6,6.12
80,40,4.0,6.71
96,48,1.6,3.49
96,48,2.0,4.32
96,48,2.2,4.73
96,48,2.6,5.53
96,48,2.9,6.12
96,48,3.2,6.70
96,48,3.6,7.47
96,48,4.0,8.22
96,48,4.5,9.13
100,50,1.6,3.63
100,50,2.0,4.51
100,50,2.2,4.93
100,50,2.6,5.78
100,50,2.9,6.40
100,50,3.0,6.60
100,50,3.2,7.01
100,50,3.6,7.81
100,50,4.0,8.60
100,50,4.5,9.55
100,50,5.0,10.49
120,60,1.6,4.39
120,60,2.0,5.45
120,60,2.2,5.97
120,60,2.6,7.00
120,60,2.9,7.76
120,60,3.2,8.52
120,60,3.6,9.51
120,60,4.0,10.48
120,60,4.5,11.67
120,60,5.0,12.84
120,60,6.0,15.10
150,25,1.6,4.26
150,25,2.0,5.29
150,25,2.2,5.79
150,25,2.6,6.80
150,50,1.6,4.89
150,50,2.0,6.08
150,50,2.2,6.66
150,50,2.6,7.82
150,50,2.9,8.67
150,50,3.0,8.96
150,50,3.2,9.52
150,50,3.6,10.64
150,50,4.0,11.74
150,50,4.5,13.09
150,50,5.0,14.41
150,75,2.6,8.84
150,75,2.9,9.81
150,75,3.2,10.78
150,75,3.6,12.05
150,75,4.0,13.31
150,75,5.0,16.38
150,75,6.0,19.33
150,100,2.9,10.95
150,100,3.2,12.03
150,100,3.6,13.46
150,100,4.0,14.88
150,100,5.0,18.34
150,100,6.0,21.69
150,100,8.0,28.10
200,100,2.9,13.23
200,100,3.2,14.55
200,100,3.6,16.29
200,100,4.0,18.02
200,100,5.0,22.26
200,100,6.0,26.40
200,100,8.0,34.38
240,120,4.0,21.78
240,120,5.0,26.97
240,120,6.0,32.05
240,120,8.0,41.91
250,100,4.0,21.16
250,100,5.0,26.19
250,100,6.0,31.11
250,100,8.0,40.66
250,150,4.0,24.30
250,150,5.0,30.11
250,150,6.0,35.82
250,150,8.0,46.94
250,150,10.0,57.63
280,100,4.0,23.04
280,100,5.0,28.54
280,100,6.0,33.94
300,150,4.0,27.44
300,150,5.0,34.04
300,150,6.0,40.53
300,150,8.0,53.22
300,150,10.0,65.48
300,200,4.0,30.58
300,200,5.0,37.96
300,200,6.0,45.24
300,200,8.0,59.50
300,200,10.0,73.33
300,200,12.0,86.77
350,250,5.0,45.81
350,250,6.0,54.66
350,250,8.0,72.06
350,250,10.0,89.03
350,250,12.0,105.61
400,200,5.0,45.81
400,200,6.0,54.66
400,200,8.0,72.06
400,200,10.0,89.03
400,200,12.0,105.61
